245.40,245.46,245.39,245.39,245.53
245.42,245.52,245.48,245.58,245.49
245.52,245.54,245.55,245.47,245.44
245.45,245.46,245.47,245.42,245.35
245.44,245.41,245.53,245.46,245.48
245.38,245.46,245.43,245.54,245.43
245.42,245.44,245.41,245.40,245.32
245.43,245.39,245.48,245.50,245.40
245.32,245.50,245.46,245.33,245.45
245.38,245.41,245.43,245.42,245.34
245.36,245.49,245.50,245.40,245.42
245.40,245.52,245.48,245.45,245.40
245.43,245.43,245.41,245.53,245.41
245.44,245.44,245.39,245.43,245.46
245.36,245.44,245.43,245.46,245.39
245.46,245.52,245.48,245.46,245.40
245.39,245.42,245.52,245.44,245.48
245.36,245.37,245.42,245.45,245.45
245.45,245.39,245.52,245.46,245.41
245.36,245.55,245.46,245.43,245.43
245.48,245.47,245.49,245.46,245.42
245.44,245.48,245.48,245.58,245.42
245.39,245.49,245.50,245.50,245.54
245.49,245.48,245.38,245.47,245.54
245.44,245.56,245.47,245.54,245.52
245.47,245.51,245.43,245.47,245.48
245.42,245.53,245.43,245.48,245.46
245.40,245.52,245.42,245.47,245.36
245.44,245.43,245.62,245.52,245.45
245.50,245.40,245.50,245.48,245.45
245.45,245.55,245.53,245.55,245.48
