169.69,169.20,168.90,167.87,167.87,167.59,167.45,166.86,166.11,166.08,165.87,165.43,165.41,165.05,164.72,164.57,164.09,164.21,164.11,163.94,164.20,163.59,163.38,163.74,163.59,163.53,163.27,163.12,163.00,163.06,163.66,163.20,163.33,162.99,163.58,163.39,163.01,162.53,162.73,163.27,163.37,162.82,162.48,162.60,162.50,162.79,163.05,162.93,162.48,162.68,162.43,162.59,162.74,162.71,163.04,162.59,162.82,163.37,163.24,163.16,163.04,162.94,162.72,163.24,163.58,162.96,163.30,163.06,163.67,163.39,163.45,162.88,163.08,163.71,163.87,163.50,163.11,163.18,163.38,163.68,164.07,164.04,163.73,163.91,163.63,164.19,164.41,164.57,165.09,164.99,165.40,165.84,165.97,166.33,166.39,166.93,167.15,167.80,168.47,168.68,169.11,169.56
169.41,168.91,168.34,167.36,167.33,167.02,166.63,166.27,165.41,165.76,165.21,164.79,164.68,164.13,163.80,163.72,163.45,163.43,163.10,163.32,163.44,162.87,162.68,162.80,162.65,162.65,162.43,162.43,162.19,162.45,162.96,162.49,162.65,162.38,162.97,162.65,162.44,161.79,162.17,162.73,162.25,162.08,161.57,162.09,162.11,162.13,162.42,162.03,161.62,161.84,161.76,161.79,161.77,161.98,162.72,162.16,162.09,162.42,162.49,162.33,162.38,162.24,161.84,162.46,162.70,162.43,162.62,162.48,163.25,162.79,162.62,162.15,162.50,163.15,162.87,162.58,162.13,162.81,162.88,163.03,163.60,163.20,162.93,163.04,163.00,163.27,163.45,163.84,164.50,164.33,164.61,165.24,165.29,165.74,166.08,166.20,166.70,167.19,167.84,168.11,168.76,169.18
168.46,167.94,167.35,166.47,166.13,165.91,165.43,164.82,163.87,164.55,163.78,163.07,162.98,162.42,161.94,161.93,161.66,161.76,161.65,161.58,161.63,161.27,160.85,161.16,161.08,161.04,160.90,160.74,160.42,160.95,161.61,160.86,161.08,160.67,161.37,161.13,160.56,160.26,160.57,161.03,160.84,160.41,159.96,160.86,160.49,160.25,160.57,159.98,159.81,159.93,159.96,159.97,160.21,160.39,160.66,160.36,160.11,160.66,160.68,160.75,160.96,160.58,160.25,160.70,161.53,160.89,161.09,160.65,161.50,161.24,160.79,160.34,160.86,161.60,161.17,160.85,160.69,161.64,161.38,161.29,161.65,161.21,161.03,161.23,161.29,161.67,161.89,162.33,162.78,162.58,162.95,163.57,163.69,164.28,164.87,164.89,165.32,166.21,167.08,166.93,167.65,168.30
168.18,167.41,166.64,165.80,165.40,165.19,164.95,163.80,162.98,163.57,162.63,162.30,161.81,161.59,160.83,160.86,160.78,160.87,160.59,160.74,160.67,160.06,159.57,159.79,159.94,160.31,160.00,159.78,159.54,159.83,160.72,160.08,160.11,159.55,160.66,160.17,159.66,159.19,159.52,160.15,160.03,159.32,158.92,159.71,159.28,159.54,159.24,158.88,158.59,158.81,158.94,159.25,159.25,159.49,159.57,159.32,159.08,159.37,159.47,159.95,160.00,159.45,159.22,159.82,160.60,160.19,160.09,159.77,160.72,160.44,160.02,159.38,159.87,160.54,160.50,159.87,159.42,160.39,160.31,160.24,160.30,160.17,159.80,160.00,160.42,160.84,161.03,161.33,161.82,161.61,161.90,162.41,162.72,163.63,164.05,164.12,164.74,165.56,166.32,166.50,167.26,167.88
167.68,166.92,165.93,165.13,164.71,164.37,163.86,162.95,162.09,162.25,161.74,161.36,160.67,160.13,159.66,159.86,160.12,159.64,159.33,159.57,159.70,159.15,158.62,158.82,158.84,159.26,159.19,158.76,158.47,158.81,159.64,159.02,158.81,158.56,159.40,159.01,158.61,158.38,158.39,158.92,158.68,158.32,157.65,158.46,158.42,158.54,158.00,157.39,157.25,157.71,158.31,158.11,157.93,158.22,158.68,158.31,157.93,158.23,158.34,158.84,158.84,158.45,158.37,158.54,159.71,158.92,159.00,158.64,159.66,159.33,158.80,158.80,158.91,159.20,159.09,158.67,158.24,158.95,159.05,159.21,159.10,158.72,158.63,159.12,159.74,159.73,159.67,160.17,160.89,160.88,160.96,161.38,161.93,162.60,163.07,163.16,163.81,164.57,165.55,165.67,166.55,167.26
167.31,166.28,164.98,164.16,163.71,163.02,162.28,161.82,160.96,161.00,160.53,160.01,159.45,158.70,158.21,158.35,158.17,157.99,157.78,158.65,158.26,157.87,157.34,157.45,157.33,158.16,158.10,157.62,156.91,157.57,158.52,157.97,157.60,157.39,158.77,158.16,157.19,157.15,157.52,157.66,156.79,157.01,156.63,157.18,157.19,156.90,156.68,156.15,156.15,156.29,156.54,156.61,156.42,157.56,157.23,157.07,156.69,156.93,156.82,157.87,157.66,157.41,156.72,157.38,158.62,157.99,157.65,157.47,158.83,158.22,157.38,157.52,157.89,158.12,157.38,157.50,157.23,157.58,158.10,157.75,157.55,157.33,157.49,157.76,157.98,158.24,158.30,159.55,159.33,159.43,159.53,160.35,160.45,161.55,162.07,162.21,162.68,163.87,165.19,165.19,165.82,166.85
165.96,165.18,163.65,162.51,162.41,161.52,160.67,160.01,159.06,159.05,158.43,157.97,157.52,157.17,156.35,156.16,155.85,155.89,155.61,155.59,155.93,155.72,155.76,155.00,155.11,156.59,156.35,155.54,154.75,155.94,156.81,156.68,155.39,155.55,156.67,156.19,155.31,155.04,155.80,155.65,154.84,154.86,154.73,154.98,155.01,154.95,154.67,154.75,154.28,154.30,154.20,154.32,154.30,154.54,155.01,154.87,154.78,154.48,154.34,156.16,156.11,155.28,154.60,155.71,156.82,156.78,155.37,155.69,156.90,156.21,155.32,155.24,156.04,155.97,155.23,155.41,155.06,155.52,155.52,155.83,155.38,155.83,155.53,155.74,155.71,156.13,156.08,156.54,157.24,157.30,157.87,158.12,158.36,160.22,160.59,160.43,161.21,162.60,163.90,164.08,164.62,166.06
165.08,164.46,162.68,161.62,161.36,160.06,158.69,158.53,157.37,156.99,156.46,156.34,155.74,154.99,154.58,154.34,153.56,153.75,153.50,153.42,154.10,153.72,153.64,153.14,153.18,154.67,154.58,153.65,153.51,154.15,155.09,154.69,153.76,153.92,154.85,154.64,153.72,153.96,154.47,153.57,152.70,153.40,153.07,152.89,153.06,153.11,152.82,152.91,152.60,152.37,151.99,152.23,152.13,152.16,153.20,152.67,152.84,152.44,152.64,154.38,154.08,153.45,153.41,154.12,155.09,154.71,153.78,153.95,154.88,154.58,153.66,154.09,154.74,153.98,153.02,153.87,153.33,153.44,153.56,153.84,153.72,153.68,153.85,153.89,153.51,153.89,153.97,154.32,155.40,155.21,155.65,156.15,156.57,158.37,158.83,158.58,159.77,161.21,162.57,162.67,163.46,165.24
164.14,163.36,160.96,159.35,159.69,157.70,156.51,156.30,154.99,154.47,153.53,153.52,152.93,152.41,152.32,151.35,150.66,150.67,150.30,150.28,151.85,151.12,151.00,150.32,150.33,151.69,151.98,151.22,150.49,151.67,152.33,152.79,151.04,151.75,152.89,152.22,151.06,151.00,152.24,150.94,150.13,151.07,150.22,150.15,149.74,150.13,150.21,149.98,150.22,149.42,149.04,149.18,148.96,149.24,150.82,150.22,150.13,149.50,149.75,151.34,151.72,151.02,150.29,151.74,152.49,152.77,151.00,151.94,153.08,152.45,151.20,151.21,152.39,151.15,150.42,151.47,150.70,150.73,150.28,150.87,150.87,151.14,151.40,150.94,150.72,151.03,150.98,151.36,152.98,152.70,152.97,153.53,154.03,155.68,156.52,156.51,157.15,159.38,160.57,161.67,161.65,164.37
162.24,161.84,158.82,157.41,157.91,155.50,153.84,153.41,152.60,151.29,150.69,150.62,150.31,149.59,149.69,148.37,147.61,147.88,147.41,147.52,148.93,148.32,148.38,148.03,147.52,148.11,149.77,149.01,148.18,148.63,149.81,149.75,148.84,149.33,150.44,149.69,148.57,148.42,149.63,147.66,147.54,148.17,147.78,146.95,146.69,147.06,147.46,147.40,147.38,146.39,146.12,146.42,145.87,146.29,147.79,147.12,147.36,147.24,146.81,147.71,149.66,148.81,148.23,148.60,150.01,149.81,148.80,149.53,150.55,149.85,148.99,148.85,150.00,148.00,147.80,148.51,148.19,147.51,147.38,147.80,148.13,148.17,148.69,147.82,147.81,148.12,147.84,148.48,150.12,149.79,150.35,151.39,151.45,152.44,154.66,154.34,155.06,157.20,159.12,159.27,160.26,163.20
