145.92,146.50,146.89,147.42,147.90,148.04,148.33,148.71,148.94,149.10,149.10,148.94,148.71,148.33,148.04,147.90,147.42,146.89,146.50,145.92
145.90,146.35,147.08,147.38,147.79,148.10,148.28,148.66,148.96,149.07,149.07,148.96,148.66,148.28,148.10,147.79,147.38,147.08,146.35,145.90
145.94,146.48,147.04,147.49,147.96,148.19,148.45,148.50,148.96,149.05,149.05,148.96,148.50,148.45,148.19,147.96,147.49,147.04,146.48,145.94
145.93,146.49,147.04,147.37,147.85,148.15,148.34,148.59,148.90,149.01,149.01,148.90,148.59,148.34,148.15,147.85,147.37,147.04,146.49,145.93
145.97,146.48,147.07,147.45,147.79,148.08,148.29,148.65,148.82,149.16,149.16,148.82,148.65,148.29,148.08,147.79,147.45,147.07,146.48,145.97
145.97,146.38,146.93,147.41,147.84,148.04,148.35,148.55,148.81,148.97,148.97,148.81,148.55,148.35,148.04,147.84,147.41,146.93,146.38,145.97
145.91,146.36,147.00,147.29,147.66,148.11,148.30,148.65,148.84,149.09,149.09,148.84,148.65,148.30,148.11,147.66,147.29,147.00,146.36,145.91
145.82,146.28,146.89,147.35,147.78,148.08,148.26,148.61,148.80,149.00,149.00,148.80,148.61,148.26,148.08,147.78,147.35,146.89,146.28,145.82
145.67,146.26,146.85,147.27,147.78,148.04,148.39,148.62,148.79,148.97,148.97,148.79,148.62,148.39,148.04,147.78,147.27,146.85,146.26,145.67
145.69,146.27,146.89,147.31,147.71,148.05,148.27,148.68,148.80,148.99,148.99,148.80,148.68,148.27,148.05,147.71,147.31,146.89,146.27,145.69
145.78,146.40,146.90,147.23,147.77,147.95,148.45,148.57,148.78,149.11,149.11,148.78,148.57,148.45,147.95,147.77,147.23,146.90,146.40,145.78
145.72,146.20,146.91,147.30,147.76,147.96,148.22,148.62,148.89,149.07,149.07,148.89,148.62,148.22,147.96,147.76,147.30,146.91,146.20,145.72
145.73,146.39,146.90,147.37,147.78,148.13,148.26,148.61,148.89,149.02,149.02,148.89,148.61,148.26,148.13,147.78,147.37,146.90,146.39,145.73
145.75,146.32,146.87,147.24,147.66,148.08,148.27,148.60,148.85,149.03,149.03,148.85,148.60,148.27,148.08,147.66,147.24,146.87,146.32,145.75
145.78,146.38,146.88,147.29,147.83,148.06,148.43,148.53,148.88,149.01,149.01,148.88,148.53,148.43,148.06,147.83,147.29,146.88,146.38,145.78
145.74,146.31,146.86,147.33,147.80,148.10,148.31,148.65,148.81,149.10,149.10,148.81,148.65,148.31,148.10,147.80,147.33,146.86,146.31,145.74
145.82,146.39,146.88,147.39,147.79,148.06,148.31,148.59,148.78,149.06,149.06,148.78,148.59,148.31,148.06,147.79,147.39,146.88,146.39,145.82
145.83,146.23,146.93,147.40,147.73,148.03,148.29,148.54,148.80,149.02,149.02,148.80,148.54,148.29,148.03,147.73,147.40,146.93,146.23,145.83
145.84,146.31,146.96,147.30,147.77,147.95,148.26,148.58,148.83,149.05,149.05,148.83,148.58,148.26,147.95,147.77,147.30,146.96,146.31,145.84
145.72,146.47,146.86,147.32,147.72,147.98,148.15,148.58,148.76,149.06,149.06,148.76,148.58,148.15,147.98,147.72,147.32,146.86,146.47,145.72
145.94,146.46,146.94,147.47,147.85,147.95,148.36,148.59,148.91,149.09,149.09,148.91,148.59,148.36,147.95,147.85,147.47,146.94,146.46,145.94
145.90,146.52,146.93,147.34,147.75,147.99,148.28,148.67,148.86,149.03,149.03,148.86,148.67,148.28,147.99,147.75,147.34,146.93,146.52,145.90
145.75,146.40,146.79,147.37,147.80,148.03,148.32,148.56,148.80,149.01,149.01,148.80,148.56,148.32,148.03,147.80,147.37,146.79,146.40,145.75
145.78,146.35,147.00,147.40,147.75,148.05,148.30,148.58,148.86,149.01,149.01,148.86,148.58,148.30,148.05,147.75,147.40,147.00,146.35,145.78
145.84,146.45,147.06,147.38,147.78,148.05,148.31,148.59,148.85,149.05,149.05,148.85,148.59,148.31,148.05,147.78,147.38,147.06,146.45,145.84
145.96,146.52,147.08,147.43,147.71,148.06,148.29,148.59,148.82,149.06,149.06,148.82,148.59,148.29,148.06,147.71,147.43,147.08,146.52,145.96
145.90,146.58,146.90,147.37,147.70,148.19,148.28,148.69,148.88,149.03,149.03,148.88,148.69,148.28,148.19,147.70,147.37,146.90,146.58,145.90
146.07,146.43,147.00,147.53,147.76,148.14,148.43,148.49,148.82,149.01,149.01,148.82,148.49,148.43,148.14,147.76,147.53,147.00,146.43,146.07
146.00,146.49,147.09,147.46,147.85,148.06,148.33,148.62,148.96,149.04,149.04,148.96,148.62,148.33,148.06,147.85,147.46,147.09,146.49,146.00
146.16,146.63,147.00,147.47,147.74,148.13,148.39,148.61,148.78,149.04,149.04,148.78,148.61,148.39,148.13,147.74,147.47,147.00,146.63,146.16
