193.28,193.51,193.51,193.49,193.38
193.21,193.41,193.53,193.53,193.43
193.18,193.41,193.46,193.49,193.42
193.23,193.46,193.51,193.51,193.37
193.21,193.52,193.58,193.51,193.29
193.33,193.53,193.47,193.43,193.25
193.35,193.49,193.50,193.46,193.31
193.30,193.50,193.51,193.49,193.32
193.22,193.50,193.56,193.47,193.37
193.15,193.45,193.56,193.50,193.30
193.22,193.40,193.50,193.50,193.30
193.21,193.41,193.52,193.45,193.32
193.19,193.40,193.49,193.46,193.24
193.25,193.41,193.45,193.40,193.31
193.14,193.51,193.57,193.48,193.25
193.20,193.43,193.49,193.48,193.32
193.19,193.45,193.44,193.42,193.25
193.18,193.46,193.50,193.51,193.34
193.24,193.49,193.51,193.38,193.41
193.20,193.44,193.49,193.46,193.30
193.23,193.50,193.46,193.46,193.29
193.27,193.47,193.55,193.50,193.31
193.28,193.51,193.53,193.45,193.33
193.24,193.52,193.49,193.44,193.25
193.19,193.43,193.56,193.41,193.28
193.23,193.58,193.49,193.49,193.32
193.29,193.48,193.53,193.48,193.41
193.25,193.44,193.58,193.51,193.40
193.25,193.46,193.43,193.57,193.43
193.25,193.49,193.50,193.54,193.35
193.15,193.53,193.47,193.49,193.38
