178.97,178.91,179.53,179.28,177.67,175.18,173.97,168.51,166.19,160.80,151.41,146.34,143.99,146.07,151.38,159.81,166.66,171.15,174.48,176.09,178.34,178.95,178.87,179.53,179.58
177.54,177.77,178.08,177.72,175.96,172.76,170.09,162.80,159.18,150.82,139.03,129.89,125.31,129.58,138.85,150.06,159.63,166.52,170.16,174.24,176.59,177.44,177.95,178.10,178.11
176.19,176.77,176.90,175.57,173.67,170.50,167.65,160.47,156.77,148.07,135.80,127.04,122.45,127.13,135.33,147.24,156.78,163.65,167.63,171.77,174.03,175.97,176.85,177.08,175.71
174.34,175.07,175.42,173.78,172.04,168.91,166.57,159.42,156.04,147.85,134.88,126.51,121.56,126.70,134.69,146.80,155.75,162.51,166.29,170.23,172.53,174.27,175.08,175.54,173.99
173.66,174.44,174.62,173.21,171.69,168.73,165.94,158.52,154.88,146.16,133.16,124.02,119.02,124.03,132.76,144.93,154.46,161.76,165.51,169.68,171.74,173.66,174.38,174.83,173.39
173.06,173.94,174.16,172.79,171.20,168.49,165.53,158.31,154.39,145.51,132.43,123.22,118.75,123.43,132.00,144.43,154.49,161.47,165.37,169.32,171.50,172.97,173.89,174.36,172.88
172.74,173.76,173.95,172.24,170.86,167.97,165.32,158.15,154.46,145.70,132.44,124.14,118.95,123.86,132.58,144.62,154.16,161.26,165.01,168.94,170.99,172.69,173.86,174.15,172.60
172.53,173.27,173.45,172.24,170.90,167.69,164.70,157.36,153.47,144.72,131.56,122.79,117.91,122.32,131.19,143.74,153.49,160.65,164.50,168.76,170.57,172.49,173.34,173.52,172.36
172.57,173.23,173.27,172.00,170.35,167.39,164.63,157.21,153.08,144.40,131.04,121.93,116.92,121.97,130.95,143.17,153.19,160.39,164.37,168.47,170.47,172.49,173.41,173.37,172.30
172.69,173.28,173.39,172.05,170.36,167.54,164.77,157.43,153.33,144.49,131.29,122.67,117.68,122.70,131.13,143.60,153.17,160.35,164.51,168.37,170.52,172.60,173.26,173.45,172.40
172.23,173.06,172.98,171.75,170.21,167.28,164.46,156.77,153.36,145.00,131.65,122.22,116.75,122.40,131.37,143.72,153.00,160.14,164.01,168.22,170.32,172.20,173.06,173.21,171.96
172.29,173.05,173.16,171.66,170.19,167.16,164.25,156.78,152.77,143.89,130.43,121.36,116.18,121.73,130.45,142.67,152.75,160.36,164.35,168.26,170.20,172.18,172.91,173.24,172.00
