Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,7.78,92.22,25907
Fixed South Facing Table,25,1.5,20,15,52287,0.0,0.0,100.0,25916
Fixed South Facing Table,50,1.5,20,15,52287,0.0,0.0,100.0,25919
Fixed South Facing Table,0,1.5,20,30,52287,0.0,7.08,92.92,26569
Fixed South Facing Table,25,1.5,20,30,52287,0.0,0.0,100.0,26629
Fixed South Facing Table,50,1.5,20,30,52287,0.0,0.0,100.0,26688
Fixed South Facing Table,0,1.5,20,45,52287,0.0,0.0,100.0,25830
Fixed South Facing Table,25,1.5,20,45,52287,0.0,0.0,100.0,25912
Fixed South Facing Table,50,1.5,20,45,52287,0.0,0.0,100.0,26039
Fixed South Facing Table,0,1.5,30,15,78431,0.0,30.38,69.62,38822
Fixed South Facing Table,25,1.5,30,15,78431,0.0,13.85,86.15,38809
Fixed South Facing Table,50,1.5,30,15,78431,0.0,0.0,100.0,38840
Fixed South Facing Table,0,1.5,30,30,78431,0.0,23.69,76.31,39710
Fixed South Facing Table,25,1.5,30,30,78431,0.0,14.15,85.85,39787
Fixed South Facing Table,50,1.5,30,30,78431,0.0,0.0,100.0,39913
Fixed South Facing Table,0,1.5,30,45,78431,0.0,19.31,80.69,38426
Fixed South Facing Table,25,1.5,30,45,78431,0.0,10.31,89.69,38592
Fixed South Facing Table,50,1.5,30,45,78431,0.0,0.0,100.0,38832
Fixed South Facing Table,0,1.5,40,15,104574,0.0,38.26,61.74,51690
Fixed South Facing Table,25,1.5,40,15,104574,0.0,27.92,72.08,51687
Fixed South Facing Table,50,1.5,40,15,104574,0.0,0.0,100.0,51755
Fixed South Facing Table,0,1.5,40,30,104574,0.0,34.02,65.98,52728
Fixed South Facing Table,25,1.5,40,30,104574,0.0,23.94,76.06,52827
Fixed South Facing Table,50,1.5,40,30,104574,0.0,0.0,100.0,53061
Fixed South Facing Table,0,1.5,40,45,104574,0.6,26.46,72.94,50804
Fixed South Facing Table,25,1.5,40,45,104574,0.0,19.36,80.64,51178
Fixed South Facing Table,50,1.5,40,45,104574,0.0,0.0,100.0,51595
Fixed South Facing Table,0,2.5,20,15,52287,0.0,0.0,100.0,25918
Fixed South Facing Table,25,2.5,20,15,52287,0.0,0.0,100.0,25911
Fixed South Facing Table,50,2.5,20,15,52287,0.0,0.0,100.0,25904
Fixed South Facing Table,0,2.5,20,30,52287,0.0,0.0,100.0,26577
Fixed South Facing Table,25,2.5,20,30,52287,0.0,0.0,100.0,26611
Fixed South Facing Table,50,2.5,20,30,52287,0.0,0.0,100.0,26678
Fixed South Facing Table,0,2.5,20,45,52287,0.0,0.0,100.0,25819
Fixed South Facing Table,25,2.5,20,45,52287,0.0,0.0,100.0,25924
Fixed South Facing Table,50,2.5,20,45,52287,0.0,0.0,100.0,26021
Fixed South Facing Table,0,2.5,30,15,78431,0.0,5.23,94.77,38820
Fixed South Facing Table,25,2.5,30,15,78431,0.0,0.0,100.0,38816
Fixed South Facing Table,50,2.5,30,15,78431,0.0,0.0,100.0,38856
Fixed South Facing Table,0,2.5,30,30,78431,0.0,1.23,98.77,39756
Fixed South Facing Table,25,2.5,30,30,78431,0.0,0.0,100.0,39776
Fixed South Facing Table,50,2.5,30,30,78431,0.0,0.0,100.0,39899
Fixed South Facing Table,0,2.5,30,45,78431,0.0,0.0,100.0,38416
Fixed South Facing Table,25,2.5,30,45,78431,0.0,0.0,100.0,38625
Fixed South Facing Table,50,2.5,30,45,78431,0.0,0.0,100.0,38891
Fixed South Facing Table,0,2.5,40,15,104574,0.0,31.9,68.1,51686
Fixed South Facing Table,25,2.5,40,15,104574,0.0,2.52,97.48,51714
Fixed South Facing Table,50,2.5,40,15,104574,0.0,0.0,100.0,51764
Fixed South Facing Table,0,2.5,40,30,104574,0.0,28.25,71.75,52690
Fixed South Facing Table,25,2.5,40,30,104574,0.0,5.64,94.36,52866
Fixed South Facing Table,50,2.5,40,30,104574,0.0,0.0,100.0,53115
Fixed South Facing Table,0,2.5,40,45,104574,0.0,22.61,77.39,50861
Fixed South Facing Table,25,2.5,40,45,104574,0.0,0.0,100.0,51110
Fixed South Facing Table,50,2.5,40,45,104574,0.0,0.0,100.0,51555
Fixed South Facing Table,0,2,20,15,52287,0.0,0.0,100.0,25917
Fixed South Facing Table,25,2,20,15,52287,0.0,0.0,100.0,25900
Fixed South Facing Table,50,2,20,15,52287,0.0,0.0,100.0,25925
Fixed South Facing Table,0,2,20,30,52287,0.0,0.0,100.0,26596
