Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,27.36,72.64,0.0,12196
Fixed South Facing Table,25,1.5,20,15,52287,17.13,82.87,0.0,12248
Fixed South Facing Table,50,1.5,20,15,52287,0.0,100.0,0.0,12238
Fixed South Facing Table,0,1.5,20,30,52287,29.46,70.54,0.0,12807
Fixed South Facing Table,25,1.5,20,30,52287,16.26,83.74,0.0,12852
Fixed South Facing Table,50,1.5,20,30,52287,0.0,100.0,0.0,12920
Fixed South Facing Table,0,1.5,20,45,52287,23.51,76.49,0.0,12727
Fixed South Facing Table,25,1.5,20,45,52287,9.44,90.56,0.0,12824
Fixed South Facing Table,50,1.5,20,45,52287,0.0,100.0,0.0,12964
Fixed South Facing Table,0,1.5,30,15,78431,43.77,56.23,0.0,18243
Fixed South Facing Table,25,1.5,30,15,78431,35.08,64.92,0.0,18287
Fixed South Facing Table,50,1.5,30,15,78431,11.23,88.77,0.0,18307
Fixed South Facing Table,0,1.5,30,30,78431,41.15,58.85,0.0,19010
Fixed South Facing Table,25,1.5,30,30,78431,31.0,69.0,0.0,19095
Fixed South Facing Table,50,1.5,30,30,78431,11.46,88.54,0.0,19254
Fixed South Facing Table,0,1.5,30,45,78431,36.23,63.77,0.0,18673
Fixed South Facing Table,25,1.5,30,45,78431,24.77,75.23,0.0,18893
Fixed South Facing Table,50,1.5,30,45,78431,7.08,92.92,0.0,19206
Fixed South Facing Table,0,1.5,40,15,104574,51.06,48.94,0.0,24278
Fixed South Facing Table,25,1.5,40,15,104574,43.77,56.23,0.0,24291
Fixed South Facing Table,50,1.5,40,15,104574,29.97,70.03,0.0,24361
Fixed South Facing Table,0,1.5,40,30,104574,45.42,54.58,0.0,25043
Fixed South Facing Table,25,1.5,40,30,104574,38.53,61.47,0.0,25190
Fixed South Facing Table,50,1.5,40,30,104574,26.86,73.14,0.0,25470
Fixed South Facing Table,0,1.5,40,45,104574,41.51,58.49,0.0,24392
Fixed South Facing Table,25,1.5,40,45,104574,33.95,66.05,0.0,24827
Fixed South Facing Table,50,1.5,40,45,104574,19.63,80.37,0.0,25312
Fixed South Facing Table,0,2.5,20,15,52287,0.09,99.91,0.0,12225
Fixed South Facing Table,25,2.5,20,15,52287,0.0,100.0,0.0,12227
Fixed South Facing Table,50,2.5,20,15,52287,0.0,100.0,0.0,12246
Fixed South Facing Table,0,2.5,20,30,52287,0.0,100.0,0.0,12797
Fixed South Facing Table,25,2.5,20,30,52287,0.0,100.0,0.0,12854
Fixed South Facing Table,50,2.5,20,30,52287,0.0,100.0,0.0,12925
Fixed South Facing Table,0,2.5,20,45,52287,0.0,100.0,0.0,12713
Fixed South Facing Table,25,2.5,20,45,52287,0.0,100.0,0.0,12835
Fixed South Facing Table,50,2.5,20,45,52287,0.0,100.0,0.0,12967
Fixed South Facing Table,0,2.5,30,15,78431,40.0,60.0,0.0,18273
Fixed South Facing Table,25,2.5,30,15,78431,17.92,82.08,0.0,18293
Fixed South Facing Table,50,2.5,30,15,78431,0.0,100.0,0.0,18304
Fixed South Facing Table,0,2.5,30,30,78431,38.85,61.15,0.0,19008
Fixed South Facing Table,25,2.5,30,30,78431,15.46,84.54,0.0,19092
Fixed South Facing Table,50,2.5,30,30,78431,0.0,100.0,0.0,19242
Fixed South Facing Table,0,2.5,30,45,78431,32.15,67.85,0.0,18672
Fixed South Facing Table,25,2.5,30,45,78431,10.0,90.0,0.0,18904
Fixed South Facing Table,50,2.5,30,45,78431,0.0,100.0,0.0,19215
Fixed South Facing Table,0,2.5,40,15,104574,51.66,48.34,0.0,24265
Fixed South Facing Table,25,2.5,40,15,104574,40.85,59.15,0.0,24317
Fixed South Facing Table,50,2.5,40,15,104574,0.0,100.0,0.0,24345
Fixed South Facing Table,0,2.5,40,30,104574,50.8,49.2,0.0,25039
Fixed South Facing Table,25,2.5,40,30,104574,37.33,62.67,0.0,25212
Fixed South Facing Table,50,2.5,40,30,104574,0.0,100.0,0.0,25484
Fixed South Facing Table,0,2.5,40,45,104574,45.03,54.97,0.0,24393
Fixed South Facing Table,25,2.5,40,45,104574,30.7,69.3,0.0,24820
Fixed South Facing Table,50,2.5,40,45,104574,0.0,100.0,0.0,25337
Fixed South Facing Table,0,2,20,15,52287,20.54,79.46,0.0,12219
Fixed South Facing Table,25,2,20,15,52287,0.0,100.0,0.0,12220
Fixed South Facing Table,50,2,20,15,52287,0.0,100.0,0.0,12247
Fixed South Facing Table,0,2,20,30,52287,13.55,86.45,0.0,12805
Fixed South Facing Table,25,2,20,30,52287,0.0,100.0,0.0,12856
