Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,35.84,64.16,21235
Fixed South Facing Table,25,1.5,20,15,52287,0.0,25.96,74.04,21261
Fixed South Facing Table,50,1.5,20,15,52287,0.0,0.0,100.0,21267
Fixed South Facing Table,0,1.5,20,30,52287,0.0,34.44,65.56,22175
Fixed South Facing Table,25,1.5,20,30,52287,0.0,22.2,77.8,22231
Fixed South Facing Table,50,1.5,20,30,52287,0.0,0.0,100.0,22293
Fixed South Facing Table,0,1.5,20,45,52287,0.0,31.12,68.88,21918
Fixed South Facing Table,25,1.5,20,45,52287,0.0,14.95,85.05,22005
Fixed South Facing Table,50,1.5,20,45,52287,0.0,0.0,100.0,22137
Fixed South Facing Table,0,1.5,30,15,78431,0.0,47.23,52.77,31835
Fixed South Facing Table,25,1.5,30,15,78431,0.0,39.54,60.46,31850
Fixed South Facing Table,50,1.5,30,15,78431,0.0,22.69,77.31,31891
Fixed South Facing Table,0,1.5,30,30,78431,0.62,43.31,56.08,33097
Fixed South Facing Table,25,1.5,30,30,78431,0.0,37.31,62.69,33155
Fixed South Facing Table,50,1.5,30,30,78431,0.0,21.15,78.85,33321
Fixed South Facing Table,0,1.5,30,45,78431,0.0,40.0,60.0,32452
Fixed South Facing Table,25,1.5,30,45,78431,0.0,32.62,67.38,32638
Fixed South Facing Table,50,1.5,30,45,78431,0.0,15.0,85.0,32951
Fixed South Facing Table,0,1.5,40,15,104574,14.99,39.79,45.23,42364
Fixed South Facing Table,25,1.5,40,15,104574,0.0,47.61,52.39,42359
Fixed South Facing Table,50,1.5,40,15,104574,0.0,33.95,66.05,42444
Fixed South Facing Table,0,1.5,40,30,104574,15.65,35.88,48.47,43796
Fixed South Facing Table,25,1.5,40,30,104574,0.0,41.58,58.42,43924
Fixed South Facing Table,50,1.5,40,30,104574,0.0,30.44,69.56,44181
Fixed South Facing Table,0,1.5,40,45,104574,9.55,35.21,55.24,42649
Fixed South Facing Table,25,1.5,40,45,104574,0.0,37.67,62.33,43096
Fixed South Facing Table,50,1.5,40,45,104574,0.0,23.14,76.86,43623
Fixed South Facing Table,0,2.5,20,15,52287,0.0,20.1,79.9,21274
Fixed South Facing Table,25,2.5,20,15,52287,0.0,0.0,100.0,21240
Fixed South Facing Table,50,2.5,20,15,52287,0.0,0.0,100.0,21271
Fixed South Facing Table,0,2.5,20,30,52287,0.0,9.18,90.82,22179
Fixed South Facing Table,25,2.5,20,30,52287,0.0,0.0,100.0,22206
Fixed South Facing Table,50,2.5,20,30,52287,0.0,0.0,100.0,22281
Fixed South Facing Table,0,2.5,20,45,52287,0.0,0.0,100.0,21902
Fixed South Facing Table,25,2.5,20,45,52287,0.0,0.0,100.0,22015
Fixed South Facing Table,50,2.5,20,45,52287,0.0,0.0,100.0,22146
Fixed South Facing Table,0,2.5,30,15,78431,0.0,51.08,48.92,31800
Fixed South Facing Table,25,2.5,30,15,78431,0.0,32.15,67.85,31831
Fixed South Facing Table,50,2.5,30,15,78431,0.0,0.0,100.0,31864
Fixed South Facing Table,0,2.5,30,30,78431,0.0,49.31,50.69,33104
Fixed South Facing Table,25,2.5,30,30,78431,0.0,29.54,70.46,33182
Fixed South Facing Table,50,2.5,30,30,78431,0.0,0.0,100.0,33297
Fixed South Facing Table,0,2.5,30,45,78431,0.0,44.92,55.08,32436
Fixed South Facing Table,25,2.5,30,45,78431,0.0,20.85,79.15,32682
Fixed South Facing Table,50,2.5,30,45,78431,0.0,0.0,100.0,33011
Fixed South Facing Table,0,2.5,40,15,104574,0.0,62.8,37.2,42379
Fixed South Facing Table,25,2.5,40,15,104574,0.0,44.96,55.04,42388
Fixed South Facing Table,50,2.5,40,15,104574,0.0,16.31,83.69,42451
Fixed South Facing Table,0,2.5,40,30,104574,0.0,58.22,41.78,43770
Fixed South Facing Table,25,2.5,40,30,104574,0.0,45.23,54.77,43956
Fixed South Facing Table,50,2.5,40,30,104574,0.0,16.71,83.29,44220
Fixed South Facing Table,0,2.5,40,45,104574,0.0,54.31,45.69,42651
Fixed South Facing Table,25,2.5,40,45,104574,0.0,41.18,58.82,43088
Fixed South Facing Table,50,2.5,40,45,104574,0.0,5.17,94.83,43632
Fixed South Facing Table,0,2,20,15,52287,0.0,28.85,71.15,21262
Fixed South Facing Table,25,2,20,15,52287,0.0,9.0,91.0,21250
Fixed South Facing Table,50,2,20,15,52287,0.0,0.0,100.0,21283
Fixed South Facing Table,0,2,20,30,52287,0.0,33.3,66.7,22199
Fixed South Facing Table,25,2,20,30,52287,0.0,0.61,99.39,22243
Fixed South Facing Table,50,2,20,30,52287,0.0,0.0,100.0,22282
Fixed South Facing Table,0,2,20,45,52287,0.0,25.09,74.91,21904
Fixed South Facing Table,25,2,20,45,52287,0.0,0.0,100.0,22055
Fixed South Facing Table,50,2,20,45,52287,0.0,0.0,100.0,22153
Fixed South Facing Table,0,2,30,15,78431,0.0,51.15,48.85,31842
Fixed South Facing Table,25,2,30,15,78431,0.0,35.77,64.23,31869
