Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,3.58,96.42,26798
Fixed South Facing Table,25,1.5,20,15,52287,0.0,0.0,100.0,26813
Fixed South Facing Table,50,1.5,20,15,52287,0.0,0.0,100.0,26831
Fixed South Facing Table,0,1.5,20,30,52287,0.0,0.0,100.0,27774
Fixed South Facing Table,25,1.5,20,30,52287,0.0,0.0,100.0,27829
Fixed South Facing Table,50,1.5,20,30,52287,0.0,0.0,100.0,27884
Fixed South Facing Table,0,1.5,20,45,52287,0.0,0.0,100.0,27229
Fixed South Facing Table,25,1.5,20,45,52287,0.0,0.0,100.0,27310
Fixed South Facing Table,50,1.5,20,45,52287,0.0,0.0,100.0,27446
Fixed South Facing Table,0,1.5,30,15,78431,0.0,25.85,74.15,40181
Fixed South Facing Table,25,1.5,30,15,78431,0.0,12.92,87.08,40174
Fixed South Facing Table,50,1.5,30,15,78431,0.0,0.0,100.0,40205
Fixed South Facing Table,0,1.5,30,30,78431,0.0,23.54,76.46,41495
Fixed South Facing Table,25,1.5,30,30,78431,0.0,10.69,89.31,41577
Fixed South Facing Table,50,1.5,30,30,78431,0.0,0.0,100.0,41697
Fixed South Facing Table,0,1.5,30,45,78431,0.0,15.62,84.38,40494
Fixed South Facing Table,25,1.5,30,45,78431,0.0,4.23,95.77,40659
Fixed South Facing Table,50,1.5,30,45,78431,0.0,0.0,100.0,40925
Fixed South Facing Table,0,1.5,40,15,104574,0.0,37.53,62.47,53488
Fixed South Facing Table,25,1.5,40,15,104574,0.0,25.27,74.73,53491
Fixed South Facing Table,50,1.5,40,15,104574,0.0,0.0,100.0,53564
Fixed South Facing Table,0,1.5,40,30,104574,0.0,31.63,68.37,55086
Fixed South Facing Table,25,1.5,40,30,104574,0.0,22.75,77.25,55183
Fixed South Facing Table,50,1.5,40,30,104574,0.0,0.0,100.0,55435
Fixed South Facing Table,0,1.5,40,45,104574,0.07,23.81,76.13,53485
Fixed South Facing Table,25,1.5,40,45,104574,0.0,16.25,83.75,53882
Fixed South Facing Table,50,1.5,40,45,104574,0.0,0.0,100.0,54340
Fixed South Facing Table,0,2.5,20,15,52287,0.0,0.0,100.0,26841
Fixed South Facing Table,25,2.5,20,15,52287,0.0,0.0,100.0,26819
Fixed South Facing Table,50,2.5,20,15,52287,0.0,0.0,100.0,26817
Fixed South Facing Table,0,2.5,20,30,52287,0.0,0.0,100.0,27779
Fixed South Facing Table,25,2.5,20,30,52287,0.0,0.0,100.0,27786
Fixed South Facing Table,50,2.5,20,30,52287,0.0,0.0,100.0,27877
Fixed South Facing Table,0,2.5,20,45,52287,0.0,0.0,100.0,27212
Fixed South Facing Table,25,2.5,20,45,52287,0.0,0.0,100.0,27310
Fixed South Facing Table,50,2.5,20,45,52287,0.0,0.0,100.0,27438
Fixed South Facing Table,0,2.5,30,15,78431,0.0,0.08,99.92,40179
Fixed South Facing Table,25,2.5,30,15,78431,0.0,0.0,100.0,40177
Fixed South Facing Table,50,2.5,30,15,78431,0.0,0.0,100.0,40222
Fixed South Facing Table,0,2.5,30,30,78431,0.0,0.0,100.0,41543
Fixed South Facing Table,25,2.5,30,30,78431,0.0,0.0,100.0,41574
Fixed South Facing Table,50,2.5,30,30,78431,0.0,0.0,100.0,41686
Fixed South Facing Table,0,2.5,30,45,78431,0.0,0.0,100.0,40483
Fixed South Facing Table,25,2.5,30,45,78431,0.0,0.0,100.0,40699
Fixed South Facing Table,50,2.5,30,45,78431,0.0,0.0,100.0,40994
Fixed South Facing Table,0,2.5,40,15,104574,0.0,27.39,72.61,53510
Fixed South Facing Table,25,2.5,40,15,104574,0.0,0.07,99.93,53516
Fixed South Facing Table,50,2.5,40,15,104574,0.0,0.0,100.0,53590
Fixed South Facing Table,0,2.5,40,30,104574,0.0,24.54,75.46,55047
Fixed South Facing Table,25,2.5,40,30,104574,0.0,0.2,99.8,55223
Fixed South Facing Table,50,2.5,40,30,104574,0.0,0.0,100.0,55494
Fixed South Facing Table,0,2.5,40,45,104574,0.0,15.78,84.22,53539
Fixed South Facing Table,25,2.5,40,45,104574,0.0,0.0,100.0,53833
Fixed South Facing Table,50,2.5,40,45,104574,0.0,0.0,100.0,54322
Fixed South Facing Table,0,2,20,15,52287,0.0,0.0,100.0,26830
Fixed South Facing Table,25,2,20,15,52287,0.0,0.0,100.0,26805
Fixed South Facing Table,50,2,20,15,52287,0.0,0.0,100.0,26845
Fixed South Facing Table,0,2,20,30,52287,0.0,0.0,100.0,27793
Fixed South Facing Table,25,2,20,30,52287,0.0,0.0,100.0,27835
Fixed South Facing Table,50,2,20,30,52287,0.0,0.0,100.0,27871
Fixed South Facing Table,0,2,20,45,52287,0.0,0.0,100.0,27194
Fixed South Facing Table,25,2,20,45,52287,0.0,0.0,100.0,27376
Fixed South Facing Table,50,2,20,45,52287,0.0,0.0,100.0,27447
Fixed South Facing Table,0,2,30,15,78431,0.0,16.54,83.46,40153
Fixed South Facing Table,25,2,30,15,78431,0.0,0.0,100.0,40221
Fixed South Facing Table,50,2,30,15,78431,0.0,0.0,100.0,40202
Fixed South Facing Table,0,2,30,30,78431,0.0,14.85,85.15,41504
Fixed South Facing Table,25,2,30,30,78431,0.0,0.0,100.0,41569
Fixed South Facing Table,50,2,30,30,78431,0.0,0.0,100.0,41683
Fixed South Facing Table,0,2,30,45,78431,0.0,7.77,92.23,40508
Fixed South Facing Table,25,2,30,45,78431,0.0,0.0,100.0,40688
Fixed South Facing Table,50,2,30,45,78431,0.0,0.0,100.0,40971
Fixed South Facing Table,0,2,40,15,104574,0.0,34.75,65.25,53526
Fixed South Facing Table,25,2,40,15,104574,0.0,14.72,85.28,53516
Fixed South Facing Table,50,2,40,15,104574,0.0,0.0,100.0,53570
Fixed South Facing Table,0,2,40,30,104574,0.0,29.58,70.42,55094
Fixed South Facing Table,25,2,40,30,104574,0.0,14.92,85.08,55229
Fixed South Facing Table,50,2,40,30,104574,0.0,0.0,100.0,55451
Fixed South Facing Table,0,2,40,45,104574,0.0,20.49,79.51,53487
Fixed South Facing Table,25,2,40,45,104574,0.0,7.23,92.77,53872
Fixed South Facing Table,50,2,40,45,104574,0.0,0.0,100.0,54329
Fixed South Facing Table,0,3.5,20,15,52287,0.0,0.0,100.0,26816
Fixed South Facing Table,25,3.5,20,15,52287,0.0,0.0,100.0,26837
Fixed South Facing Table,50,3.5,20,15,52287,0.0,0.0,100.0,26842
Fixed South Facing Table,0,3.5,20,30,52287,0.0,0.0,100.0,27783
Fixed South Facing Table,25,3.5,20,30,52287,0.0,0.0,100.0,27802
Fixed South Facing Table,50,3.5,20,30,52287,0.0,0.0,100.0,27891
Fixed South Facing Table,0,3.5,20,45,52287,0.0,0.0,100.0,27228
Fixed South Facing Table,25,3.5,20,45,52287,0.0,0.0,100.0,27326
Fixed South Facing Table,50,3.5,20,45,52287,0.0,0.0,100.0,27442
Fixed South Facing Table,0,3.5,30,15,78431,0.0,0.0,100.0,40194
Fixed South Facing Table,25,3.5,30,15,78431,0.0,0.0,100.0,40190
Fixed South Facing Table,50,3.5,30,15,78431,0.0,0.0,100.0,40286
Fixed South Facing Table,0,3.5,30,30,78431,0.0,0.0,100.0,41484
Fixed South Facing Table,25,3.5,30,30,78431,0.0,0.0,100.0,41581
Fixed South Facing Table,50,3.5,30,30,78431,0.0,0.0,100.0,41711
Fixed South Facing Table,0,3.5,30,45,78431,0.0,0.0,100.0,40479
