Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,40.3,59.7,20787
Fixed South Facing Table,25,1.5,20,15,52287,0.0,28.85,71.15,20806
Fixed South Facing Table,50,1.5,20,15,52287,0.0,0.0,100.0,20814
Fixed South Facing Table,0,1.5,20,30,52287,0.0,36.71,63.29,21564
Fixed South Facing Table,25,1.5,20,30,52287,0.0,26.92,73.08,21611
Fixed South Facing Table,50,1.5,20,30,52287,0.0,0.0,100.0,21667
Fixed South Facing Table,0,1.5,20,45,52287,0.0,35.14,64.86,21186
Fixed South Facing Table,25,1.5,20,45,52287,0.0,21.33,78.67,21260
Fixed South Facing Table,50,1.5,20,45,52287,0.0,0.0,100.0,21386
Fixed South Facing Table,0,1.5,30,15,78431,0.0,50.23,49.77,31157
Fixed South Facing Table,25,1.5,30,15,78431,0.0,43.23,56.77,31165
Fixed South Facing Table,50,1.5,30,15,78431,0.0,23.62,76.38,31202
Fixed South Facing Table,0,1.5,30,30,78431,0.38,47.54,52.08,32176
Fixed South Facing Table,25,1.5,30,30,78431,0.0,40.38,59.62,32239
Fixed South Facing Table,50,1.5,30,30,78431,0.0,23.38,76.62,32382
Fixed South Facing Table,0,1.5,30,45,78431,0.0,44.38,55.62,31391
Fixed South Facing Table,25,1.5,30,45,78431,0.0,35.69,64.31,31571
Fixed South Facing Table,50,1.5,30,45,78431,0.0,16.23,83.77,31838
Fixed South Facing Table,0,1.5,40,15,104574,16.05,40.58,43.37,41474
Fixed South Facing Table,25,1.5,40,15,104574,0.0,51.19,48.81,41476
Fixed South Facing Table,50,1.5,40,15,104574,0.0,37.33,62.67,41546
Fixed South Facing Table,0,1.5,40,30,104574,17.37,37.6,45.03,42624
Fixed South Facing Table,25,1.5,40,30,104574,0.0,45.09,54.91,42734
Fixed South Facing Table,50,1.5,40,30,104574,0.0,32.69,67.31,42976
Fixed South Facing Table,0,1.5,40,45,104574,9.55,40.32,50.13,41315
Fixed South Facing Table,25,1.5,40,45,104574,0.0,41.11,58.89,41718
Fixed South Facing Table,50,1.5,40,45,104574,0.0,25.46,74.54,42188
Fixed South Facing Table,0,2.5,20,15,52287,0.0,22.9,77.1,20822
Fixed South Facing Table,25,2.5,20,15,52287,0.0,0.0,100.0,20797
Fixed South Facing Table,50,2.5,20,15,52287,0.0,0.0,100.0,20818
Fixed South Facing Table,0,2.5,20,30,52287,0.0,14.42,85.58,21560
Fixed South Facing Table,25,2.5,20,30,52287,0.0,0.0,100.0,21583
Fixed South Facing Table,50,2.5,20,30,52287,0.0,0.0,100.0,21658
Fixed South Facing Table,0,2.5,20,45,52287,0.0,8.22,91.78,21165
Fixed South Facing Table,25,2.5,20,45,52287,0.0,0.0,100.0,21260
