Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,37.41,62.59,21181
Fixed South Facing Table,25,1.5,20,15,52287,0.0,27.1,72.9,21204
Fixed South Facing Table,50,1.5,20,15,52287,0.0,0.0,100.0,21212
Fixed South Facing Table,0,1.5,20,30,52287,0.0,36.63,63.37,22093
Fixed South Facing Table,25,1.5,20,30,52287,0.0,25.7,74.3,22145
Fixed South Facing Table,50,1.5,20,30,52287,0.0,0.0,100.0,22204
Fixed South Facing Table,0,1.5,20,45,52287,0.0,32.52,67.48,21813
Fixed South Facing Table,25,1.5,20,45,52287,0.0,18.36,81.64,21899
Fixed South Facing Table,50,1.5,20,45,52287,0.0,0.0,100.0,22023
Fixed South Facing Table,0,1.5,30,15,78431,0.0,50.54,49.46,31748
Fixed South Facing Table,25,1.5,30,15,78431,0.0,41.62,58.38,31766
Fixed South Facing Table,50,1.5,30,15,78431,0.0,23.31,76.69,31808
Fixed South Facing Table,0,1.5,30,30,78431,0.38,46.62,53.0,32972
Fixed South Facing Table,25,1.5,30,30,78431,0.0,39.46,60.54,33029
Fixed South Facing Table,50,1.5,30,30,78431,0.0,23.0,77.0,33189
Fixed South Facing Table,0,1.5,30,45,78431,0.0,43.38,56.62,32296
Fixed South Facing Table,25,1.5,30,45,78431,0.0,35.38,64.62,32479
Fixed South Facing Table,50,1.5,30,45,78431,0.0,15.54,84.46,32782
Fixed South Facing Table,0,1.5,40,15,104574,15.19,39.99,44.83,42266
Fixed South Facing Table,25,1.5,40,15,104574,0.0,50.27,49.73,42254
Fixed South Facing Table,50,1.5,40,15,104574,0.0,37.0,63.0,42334
Fixed South Facing Table,0,1.5,40,30,104574,15.98,38.53,45.49,43638
Fixed South Facing Table,25,1.5,40,30,104574,0.0,44.89,55.11,43764
Fixed South Facing Table,50,1.5,40,30,104574,0.0,31.1,68.9,44015
Fixed South Facing Table,0,1.5,40,45,104574,9.55,38.59,51.86,42462
Fixed South Facing Table,25,1.5,40,45,104574,0.0,40.45,59.55,42895
Fixed South Facing Table,50,1.5,40,45,104574,0.0,23.87,76.13,43411
Fixed South Facing Table,0,2.5,20,15,52287,0.0,22.99,77.01,21217
Fixed South Facing Table,25,2.5,20,15,52287,0.0,0.0,100.0,21186
Fixed South Facing Table,50,2.5,20,15,52287,0.0,0.0,100.0,21217
Fixed South Facing Table,0,2.5,20,30,52287,0.0,13.02,86.98,22089
Fixed South Facing Table,25,2.5,20,30,52287,0.0,0.0,100.0,22120
Fixed South Facing Table,50,2.5,20,30,52287,0.0,0.0,100.0,22190
Fixed South Facing Table,0,2.5,20,45,52287,0.0,3.06,96.94,21791
Fixed South Facing Table,25,2.5,20,45,52287,0.0,0.0,100.0,21902
Fixed South Facing Table,50,2.5,20,45,52287,0.0,0.0,100.0,22028
Fixed South Facing Table,0,2.5,30,15,78431,0.0,55.92,44.08,31723
Fixed South Facing Table,25,2.5,30,15,78431,0.0,35.0,65.0,31755
Fixed South Facing Table,50,2.5,30,15,78431,0.0,0.0,100.0,31784
Fixed South Facing Table,0,2.5,30,30,78431,0.0,51.62,48.38,32985
Fixed South Facing Table,25,2.5,30,30,78431,0.0,33.23,66.77,33051
Fixed South Facing Table,50,2.5,30,30,78431,0.0,0.0,100.0,33168
Fixed South Facing Table,0,2.5,30,45,78431,0.0,50.15,49.85,32282
Fixed South Facing Table,25,2.5,30,45,78431,0.0,27.92,72.08,32521
Fixed South Facing Table,50,2.5,30,45,78431,0.0,0.0,100.0,32842
Fixed South Facing Table,0,2.5,40,15,104574,0.0,65.32,34.68,42269
Fixed South Facing Table,25,2.5,40,15,104574,0.0,49.8,50.2,42281
Fixed South Facing Table,50,2.5,40,15,104574,0.0,20.16,79.84,42346
Fixed South Facing Table,0,2.5,40,30,104574,0.0,61.14,38.86,43614
Fixed South Facing Table,25,2.5,40,30,104574,0.0,48.94,51.06,43795
Fixed South Facing Table,50,2.5,40,30,104574,0.0,20.76,79.24,44058
Fixed South Facing Table,0,2.5,40,45,104574,0.0,57.96,42.04,42462
Fixed South Facing Table,25,2.5,40,45,104574,0.0,44.5,55.5,42892
Fixed South Facing Table,50,2.5,40,45,104574,0.0,12.07,87.93,43415
Fixed South Facing Table,0,2,20,15,52287,0.0,34.35,65.65,21207
Fixed South Facing Table,25,2,20,15,52287,0.0,13.02,86.98,21196
Fixed South Facing Table,50,2,20,15,52287,0.0,0.0,100.0,21229
Fixed South Facing Table,0,2,20,30,52287,0.0,38.55,61.45,22118
Fixed South Facing Table,25,2,20,30,52287,0.0,4.55,95.45,22158
Fixed South Facing Table,50,2,20,30,52287,0.0,0.0,100.0,22199
Fixed South Facing Table,0,2,20,45,52287,0.0,28.15,71.85,21794
Fixed South Facing Table,25,2,20,45,52287,0.0,0.0,100.0,21945
Fixed South Facing Table,50,2,20,45,52287,0.0,0.0,100.0,22040
Fixed South Facing Table,0,2,30,15,78431,0.0,51.85,48.15,31760
Fixed South Facing Table,25,2,30,15,78431,0.0,38.62,61.38,31787
Fixed South Facing Table,50,2,30,15,78431,0.0,9.92,90.08,31788
Fixed South Facing Table,0,2,30,30,78431,0.0,51.62,48.38,32931
Fixed South Facing Table,25,2,30,30,78431,0.0,38.85,61.15,33029
Fixed South Facing Table,50,2,30,30,78431,0.0,11.08,88.92,33165
Fixed South Facing Table,0,2,30,45,78431,0.0,47.31,52.69,32287
