Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,16.78,83.22,24390
Fixed South Facing Table,25,1.5,20,15,52287,0.0,0.0,100.0,24407
Fixed South Facing Table,50,1.5,20,15,52287,0.0,0.0,100.0,24412
Fixed South Facing Table,0,1.5,20,30,52287,0.0,16.17,83.83,24891
Fixed South Facing Table,25,1.5,20,30,52287,0.0,0.0,100.0,24937
Fixed South Facing Table,50,1.5,20,30,52287,0.0,0.0,100.0,24987
Fixed South Facing Table,0,1.5,20,45,52287,0.0,8.57,91.43,24077
Fixed South Facing Table,25,1.5,20,45,52287,0.0,0.0,100.0,24138
Fixed South Facing Table,50,1.5,20,45,52287,0.0,0.0,100.0,24265
Fixed South Facing Table,0,1.5,30,15,78431,0.0,38.15,61.85,36560
Fixed South Facing Table,25,1.5,30,15,78431,0.0,23.0,77.0,36575
Fixed South Facing Table,50,1.5,30,15,78431,0.0,0.0,100.0,36595
Fixed South Facing Table,0,1.5,30,30,78431,0.0,35.38,64.62,37175
Fixed South Facing Table,25,1.5,30,30,78431,0.0,22.77,77.23,37249
Fixed South Facing Table,50,1.5,30,30,78431,0.0,0.0,100.0,37358
Fixed South Facing Table,0,1.5,30,45,78431,0.0,28.31,71.69,35780
Fixed South Facing Table,25,1.5,30,45,78431,0.0,17.38,82.62,35940
Fixed South Facing Table,50,1.5,30,45,78431,0.0,0.0,100.0,36179
Fixed South Facing Table,0,1.5,40,15,104574,0.0,44.43,55.57,48701
Fixed South Facing Table,25,1.5,40,15,104574,0.0,36.47,63.53,48701
Fixed South Facing Table,50,1.5,40,15,104574,0.0,12.07,87.93,48772
Fixed South Facing Table,0,1.5,40,30,104574,5.57,35.48,58.95,49355
Fixed South Facing Table,25,1.5,40,30,104574,0.0,33.02,66.98,49453
Fixed South Facing Table,50,1.5,40,30,104574,0.0,12.73,87.27,49688
Fixed South Facing Table,0,1.5,40,45,104574,2.59,34.55,62.86,47295
Fixed South Facing Table,25,1.5,40,45,104574,0.0,25.6,74.4,47641
