Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,58.13,41.87,18730
Fixed South Facing Table,25,1.5,20,15,52287,0.0,50.61,49.39,18759
Fixed South Facing Table,50,1.5,20,15,52287,0.0,37.59,62.41,18755
Fixed South Facing Table,0,1.5,20,30,52287,0.0,55.68,44.32,19261
Fixed South Facing Table,25,1.5,20,30,52287,0.0,50.17,49.83,19314
Fixed South Facing Table,50,1.5,20,30,52287,0.0,35.93,64.07,19362
Fixed South Facing Table,0,1.5,20,45,52287,0.0,58.13,41.87,18791
Fixed South Facing Table,25,1.5,20,45,52287,0.0,50.0,50.0,18872
Fixed South Facing Table,50,1.5,20,45,52287,0.0,32.34,67.66,18991
Fixed South Facing Table,0,1.5,30,15,78431,6.0,61.77,32.23,28077
Fixed South Facing Table,25,1.5,30,15,78431,0.0,59.92,40.08,28091
Fixed South Facing Table,50,1.5,30,15,78431,0.0,51.77,48.23,28126
Fixed South Facing Table,0,1.5,30,30,78431,6.46,59.08,34.46,28742
Fixed South Facing Table,25,1.5,30,30,78431,0.0,60.08,39.92,28807
Fixed South Facing Table,50,1.5,30,30,78431,0.0,47.31,52.69,28950
Fixed South Facing Table,0,1.5,30,45,78431,2.85,63.77,33.38,27826
Fixed South Facing Table,25,1.5,30,45,78431,0.0,56.23,43.77,27987
Fixed South Facing Table,50,1.5,30,45,78431,0.0,43.69,56.31,28273
Fixed South Facing Table,0,1.5,40,15,104574,23.21,47.48,29.31,37371
Fixed South Facing Table,25,1.5,40,15,104574,0.0,66.05,33.95,37363
Fixed South Facing Table,50,1.5,40,15,104574,0.0,56.37,43.63,37443
Fixed South Facing Table,0,1.5,40,30,104574,20.36,49.27,30.37,38047
Fixed South Facing Table,25,1.5,40,30,104574,0.07,64.39,35.54,38165
Fixed South Facing Table,50,1.5,40,30,104574,0.0,54.77,45.23,38409
Fixed South Facing Table,0,1.5,40,45,104574,13.53,58.55,27.92,36615
