Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,36.36,63.64,21001
Fixed South Facing Table,25,1.5,20,15,52287,0.0,26.75,73.25,21014
Fixed South Facing Table,50,1.5,20,15,52287,0.0,0.0,100.0,21026
Fixed South Facing Table,0,1.5,20,30,52287,0.0,36.19,63.81,21702
Fixed South Facing Table,25,1.5,20,30,52287,0.0,23.16,76.84,21750
Fixed South Facing Table,50,1.5,20,30,52287,0.0,0.0,100.0,21808
Fixed South Facing Table,0,1.5,20,45,52287,0.0,33.74,66.26,21257
Fixed South Facing Table,25,1.5,20,45,52287,0.0,17.66,82.34,21331
Fixed South Facing Table,50,1.5,20,45,52287,0.0,0.0,100.0,21454
Fixed South Facing Table,0,1.5,30,15,78431,0.0,47.92,52.08,31467
Fixed South Facing Table,25,1.5,30,15,78431,0.0,39.77,60.23,31484
Fixed South Facing Table,50,1.5,30,15,78431,0.0,23.15,76.85,31513
Fixed South Facing Table,0,1.5,30,30,78431,0.0,47.46,52.54,32390
Fixed South Facing Table,25,1.5,30,30,78431,0.0,39.0,61.0,32452
Fixed South Facing Table,50,1.5,30,30,78431,0.0,22.62,77.38,32588
Fixed South Facing Table,0,1.5,30,45,78431,0.0,43.77,56.23,31527
Fixed South Facing Table,25,1.5,30,45,78431,0.0,34.69,65.31,31701
Fixed South Facing Table,50,1.5,30,45,78431,0.0,15.38,84.62,31952
Fixed South Facing Table,0,1.5,40,15,104574,14.66,40.38,44.96,41898
Fixed South Facing Table,25,1.5,40,15,104574,0.0,48.67,51.33,41895
Fixed South Facing Table,50,1.5,40,15,104574,0.0,36.6,63.4,41967
Fixed South Facing Table,0,1.5,40,30,104574,15.98,38.59,45.42,42935
Fixed South Facing Table,25,1.5,40,30,104574,0.0,44.23,55.77,43040
Fixed South Facing Table,50,1.5,40,30,104574,0.0,30.7,69.3,43266
Fixed South Facing Table,0,1.5,40,45,104574,9.55,38.66,51.79,41535
Fixed South Facing Table,25,1.5,40,45,104574,0.0,39.72,60.28,41925
Fixed South Facing Table,50,1.5,40,45,104574,0.0,23.74,76.26,42362
Fixed South Facing Table,0,2.5,20,15,52287,0.0,22.64,77.36,21028
Fixed South Facing Table,25,2.5,20,15,52287,0.0,0.0,100.0,20999
Fixed South Facing Table,50,2.5,20,15,52287,0.0,0.0,100.0,21022
Fixed South Facing Table,0,2.5,20,30,52287,0.0,14.86,85.14,21699
Fixed South Facing Table,25,2.5,20,30,52287,0.0,0.0,100.0,21724
Fixed South Facing Table,50,2.5,20,30,52287,0.0,0.0,100.0,21795
Fixed South Facing Table,0,2.5,20,45,52287,0.0,1.84,98.16,21243
Fixed South Facing Table,25,2.5,20,45,52287,0.0,0.0,100.0,21337
Fixed South Facing Table,50,2.5,20,45,52287,0.0,0.0,100.0,21452
Fixed South Facing Table,0,2.5,30,15,78431,0.0,53.38,46.62,31462
Fixed South Facing Table,25,2.5,30,15,78431,0.0,33.77,66.23,31479
