Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,16.87,83.13,25374
Fixed South Facing Table,25,1.5,20,15,52287,0.0,0.0,100.0,25422
Fixed South Facing Table,50,1.5,20,15,52287,0.0,0.0,100.0,25412
Fixed South Facing Table,0,1.5,20,30,52287,0.0,17.66,82.34,25056
Fixed South Facing Table,25,1.5,20,30,52287,0.0,0.0,100.0,25117
Fixed South Facing Table,50,1.5,20,30,52287,0.0,0.0,100.0,25172
Fixed South Facing Table,0,1.5,20,45,52287,0.0,13.02,86.98,23486
Fixed South Facing Table,25,1.5,20,45,52287,0.0,0.0,100.0,23547
Fixed South Facing Table,50,1.5,20,45,52287,0.0,0.0,100.0,23662
Fixed South Facing Table,0,1.5,30,15,78431,0.0,35.31,64.69,38012
Fixed South Facing Table,25,1.5,30,15,78431,0.0,22.46,77.54,38060
Fixed South Facing Table,50,1.5,30,15,78431,0.0,0.0,100.0,38075
Fixed South Facing Table,0,1.5,30,30,78431,0.0,31.62,68.38,37496
Fixed South Facing Table,25,1.5,30,30,78431,0.0,21.54,78.46,37571
Fixed South Facing Table,50,1.5,30,30,78431,0.0,0.0,100.0,37667
Fixed South Facing Table,0,1.5,30,45,78431,0.0,27.31,72.69,34930
Fixed South Facing Table,25,1.5,30,45,78431,0.0,15.0,85.0,35082
Fixed South Facing Table,50,1.5,30,45,78431,0.0,0.0,100.0,35335
Fixed South Facing Table,0,1.5,40,15,104574,0.0,44.23,55.77,50702
Fixed South Facing Table,25,1.5,40,15,104574,0.0,33.75,66.25,50673
Fixed South Facing Table,50,1.5,40,15,104574,0.0,0.0,100.0,50757
Fixed South Facing Table,0,1.5,40,30,104574,2.79,38.06,59.15,49821
Fixed South Facing Table,25,1.5,40,30,104574,0.0,30.7,69.3,49901
Fixed South Facing Table,50,1.5,40,30,104574,0.0,0.13,99.87,50130
Fixed South Facing Table,0,1.5,40,45,104574,2.45,31.76,65.78,46286
Fixed South Facing Table,25,1.5,40,45,104574,0.0,23.47,76.53,46622
Fixed South Facing Table,50,1.5,40,45,104574,0.0,1.86,98.14,46967
Fixed South Facing Table,0,2.5,20,15,52287,0.0,0.0,100.0,25392
Fixed South Facing Table,25,2.5,20,15,52287,0.0,0.0,100.0,25403
Fixed South Facing Table,50,2.5,20,15,52287,0.0,0.0,100.0,25393
Fixed South Facing Table,0,2.5,20,30,52287,0.0,0.0,100.0,25088
Fixed South Facing Table,25,2.5,20,30,52287,0.0,0.0,100.0,25123
Fixed South Facing Table,50,2.5,20,30,52287,0.0,0.0,100.0,25172
Fixed South Facing Table,0,2.5,20,45,52287,0.0,0.0,100.0,23447
Fixed South Facing Table,25,2.5,20,45,52287,0.0,0.0,100.0,23577
Fixed South Facing Table,50,2.5,20,45,52287,0.0,0.0,100.0,23640
Fixed South Facing Table,0,2.5,30,15,78431,0.0,20.15,79.85,38067
Fixed South Facing Table,25,2.5,30,15,78431,0.0,0.0,100.0,38076
Fixed South Facing Table,50,2.5,30,15,78431,0.0,0.0,100.0,38049
Fixed South Facing Table,0,2.5,30,30,78431,0.0,20.15,79.85,37488
Fixed South Facing Table,25,2.5,30,30,78431,0.0,0.0,100.0,37539
Fixed South Facing Table,50,2.5,30,30,78431,0.0,0.0,100.0,37694
Fixed South Facing Table,0,2.5,30,45,78431,0.0,17.15,82.85,34951
Fixed South Facing Table,25,2.5,30,45,78431,0.0,0.0,100.0,35103
Fixed South Facing Table,50,2.5,30,45,78431,0.0,0.0,100.0,35360
Fixed South Facing Table,0,2.5,40,15,104574,0.0,39.39,60.61,50683
Fixed South Facing Table,25,2.5,40,15,104574,0.0,14.46,85.54,50708
Fixed South Facing Table,50,2.5,40,15,104574,0.0,0.0,100.0,50729
Fixed South Facing Table,0,2.5,40,30,104574,0.0,37.2,62.8,49826
Fixed South Facing Table,25,2.5,40,30,104574,0.0,18.17,81.83,49920
Fixed South Facing Table,50,2.5,40,30,104574,0.0,0.0,100.0,50135
Fixed South Facing Table,0,2.5,40,45,104574,0.0,33.75,66.25,46334
Fixed South Facing Table,25,2.5,40,45,104574,0.0,13.66,86.34,46598
Fixed South Facing Table,50,2.5,40,45,104574,0.0,0.0,100.0,46964
Fixed South Facing Table,0,2,20,15,52287,0.0,0.0,100.0,25387
Fixed South Facing Table,25,2,20,15,52287,0.0,0.0,100.0,25395
Fixed South Facing Table,50,2,20,15,52287,0.0,0.0,100.0,25422
Fixed South Facing Table,0,2,20,30,52287,0.0,0.0,100.0,25081
Fixed South Facing Table,25,2,20,30,52287,0.0,0.0,100.0,25114
Fixed South Facing Table,50,2,20,30,52287,0.0,0.0,100.0,25215
Fixed South Facing Table,0,2,20,45,52287,0.0,0.0,100.0,23465
Fixed South Facing Table,25,2,20,45,52287,0.0,0.0,100.0,23578
Fixed South Facing Table,50,2,20,45,52287,0.0,0.0,100.0,23661
Fixed South Facing Table,0,2,30,15,78431,0.0,29.77,70.23,38053
Fixed South Facing Table,25,2,30,15,78431,0.0,4.77,95.23,38071
Fixed South Facing Table,50,2,30,15,78431,0.0,0.0,100.0,38125
Fixed South Facing Table,0,2,30,30,78431,0.0,30.92,69.08,37494
Fixed South Facing Table,25,2,30,30,78431,0.0,9.38,90.62,37585
Fixed South Facing Table,50,2,30,30,78431,0.0,0.0,100.0,37671
Fixed South Facing Table,0,2,30,45,78431,0.0,26.92,73.08,34954
Fixed South Facing Table,25,2,30,45,78431,0.0,3.08,96.92,35116
Fixed South Facing Table,50,2,30,45,78431,0.0,0.0,100.0,35379
Fixed South Facing Table,0,2,40,15,104574,0.0,41.71,58.29,50669
Fixed South Facing Table,25,2,40,15,104574,0.0,26.79,73.21,50692
Fixed South Facing Table,50,2,40,15,104574,0.0,0.0,100.0,50739
Fixed South Facing Table,0,2,40,30,104574,0.0,40.92,59.08,49782
Fixed South Facing Table,25,2,40,30,104574,0.0,26.59,73.41,49955
Fixed South Facing Table,50,2,40,30,104574,0.0,0.0,100.0,50132
Fixed South Facing Table,0,2,40,45,104574,0.0,36.6,63.4,46311
Fixed South Facing Table,25,2,40,45,104574,0.0,21.68,78.32,46601
