Configuration,Transparency,Height from Ground,Panel Count,Angle (Degrees),Initial cost ($),Low light area (%),Medium light area (%),High light area (%),Net AC electricity
Fixed South Facing Table,0,1.5,20,15,52287,0.0,49.91,50.09,19713
Fixed South Facing Table,25,1.5,20,15,52287,0.0,43.44,56.56,19747
Fixed South Facing Table,50,1.5,20,15,52287,0.0,25.52,74.48,19748
Fixed South Facing Table,0,1.5,20,30,52287,0.0,49.48,50.52,20704
Fixed South Facing Table,25,1.5,20,30,52287,0.0,41.35,58.65,20756
Fixed South Facing Table,50,1.5,20,30,52287,0.0,22.2,77.8,20816
Fixed South Facing Table,0,1.5,20,45,52287,0.0,48.78,51.22,20572
Fixed South Facing Table,25,1.5,20,45,52287,0.0,39.95,60.05,20667
Fixed South Facing Table,50,1.5,20,45,52287,0.0,14.69,85.31,20789
Fixed South Facing Table,0,1.5,30,15,78431,2.77,56.08,41.15,29548
Fixed South Facing Table,25,1.5,30,15,78431,0.0,52.92,47.08,29564
Fixed South Facing Table,50,1.5,30,15,78431,0.0,39.54,60.46,29616
Fixed South Facing Table,0,1.5,30,30,78431,3.46,55.38,41.15,30883
Fixed South Facing Table,25,1.5,30,30,78431,0.0,48.38,51.62,30941
Fixed South Facing Table,50,1.5,30,30,78431,0.0,38.15,61.85,31111
Fixed South Facing Table,0,1.5,30,45,78431,0.0,54.54,45.46,30381
Fixed South Facing Table,25,1.5,30,45,78431,0.0,47.0,53.0,30580
Fixed South Facing Table,50,1.5,30,45,78431,0.0,34.62,65.38,30906
Fixed South Facing Table,0,1.5,40,15,104574,21.55,43.83,34.62,39334
Fixed South Facing Table,25,1.5,40,15,104574,0.0,58.89,41.11,39323
Fixed South Facing Table,50,1.5,40,15,104574,0.0,48.41,51.59,39396
Fixed South Facing Table,0,1.5,40,30,104574,19.63,42.71,37.67,40794
Fixed South Facing Table,25,1.5,40,30,104574,0.0,57.16,42.84,40938
Fixed South Facing Table,50,1.5,40,30,104574,0.0,43.44,56.56,41204
Fixed South Facing Table,0,1.5,40,45,104574,12.47,47.21,40.32,39830
Fixed South Facing Table,25,1.5,40,45,104574,0.0,51.53,48.47,40296
Fixed South Facing Table,50,1.5,40,45,104574,0.0,38.99,61.01,40857
Fixed South Facing Table,0,2.5,20,15,52287,0.0,58.48,41.52,19752
Fixed South Facing Table,25,2.5,20,15,52287,0.0,29.46,70.54,19728
Fixed South Facing Table,50,2.5,20,15,52287,0.0,0.0,100.0,19760
Fixed South Facing Table,0,2.5,20,30,52287,0.0,53.5,46.5,20698
Fixed South Facing Table,25,2.5,20,30,52287,0.0,26.31,73.69,20738
Fixed South Facing Table,50,2.5,20,30,52287,0.0,0.0,100.0,20807
Fixed South Facing Table,0,2.5,20,45,52287,0.0,49.65,50.35,20545
Fixed South Facing Table,25,2.5,20,45,52287,0.0,17.66,82.34,20660
Fixed South Facing Table,50,2.5,20,45,52287,0.0,0.0,100.0,20800
Fixed South Facing Table,0,2.5,30,15,78431,0.0,75.62,24.38,29520
Fixed South Facing Table,25,2.5,30,15,78431,0.0,59.85,40.15,29558
Fixed South Facing Table,50,2.5,30,15,78431,0.0,32.0,68.0,29583
Fixed South Facing Table,0,2.5,30,30,78431,0.0,67.46,32.54,30879
Fixed South Facing Table,25,2.5,30,30,78431,0.0,55.62,44.38,30965
Fixed South Facing Table,50,2.5,30,30,78431,0.0,29.46,70.54,31092
Fixed South Facing Table,0,2.5,30,45,78431,0.0,64.92,35.08,30370
